
异常时间：2019-01-14 10:04:56,543 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:56

异常时间：2019-01-14 10:04:56,800 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:56

异常时间：2019-01-14 10:04:56,927 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:56

异常时间：2019-01-14 10:04:57,069 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:57,182 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:57,328 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:57,450 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:57,516 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:57,516 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:57,583 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:57,716 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:57,841 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:57

异常时间：2019-01-14 10:04:58,103 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:58

异常时间：2019-01-14 10:04:58,349 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:58

异常时间：2019-01-14 10:04:58,589 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:58

异常时间：2019-01-14 10:04:58,597 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:58

异常时间：2019-01-14 10:04:58,682 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:04:58,682 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:04:58

异常时间：2019-01-14 10:04:58,841 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:58

异常时间：2019-01-14 10:04:58,848 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:58

异常时间：2019-01-14 10:04:59,112 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:59

异常时间：2019-01-14 10:04:59,113 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:59

异常时间：2019-01-14 10:04:59,376 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:59

异常时间：2019-01-14 10:04:59,952 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431486，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:04:59

异常时间：2019-01-14 10:05:02,215 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:05:02,215 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431486时间：2019/1/14 10:05:02

异常时间：2019-01-14 10:09:38,598 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:38

异常时间：2019-01-14 10:09:38,717 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:38

异常时间：2019-01-14 10:09:38,874 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:38

异常时间：2019-01-14 10:09:38,886 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:38

异常时间：2019-01-14 10:09:38,911 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:38

异常时间：2019-01-14 10:09:39,341 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:39

异常时间：2019-01-14 10:09:39,776 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:39

异常时间：2019-01-14 10:09:39,850 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:39

异常时间：2019-01-14 10:09:39,851 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:09:39,851 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431777时间：2019/1/14 10:09:39

异常时间：2019-01-14 10:09:39,859 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:39

异常时间：2019-01-14 10:09:40,245 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:40

异常时间：2019-01-14 10:09:40,283 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:40

异常时间：2019-01-14 10:09:40,396 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:40

异常时间：2019-01-14 10:09:40,712 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:40

异常时间：2019-01-14 10:09:40,728 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:40

异常时间：2019-01-14 10:09:40,904 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:40

异常时间：2019-01-14 10:09:41,241 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:41

异常时间：2019-01-14 10:09:41,409 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:41

异常时间：2019-01-14 10:09:41,670 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:41

异常时间：2019-01-14 10:09:41,732 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:41

异常时间：2019-01-14 10:09:42,035 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:42,171 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:42,527 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:42,528 异常级别：ERROR异常内容：===============================================

异常时间：2019-01-14 10:09:42,528 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1547431777时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:42,599 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:42,714 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:42,854 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：'<' 附近有语法错误。，时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:42,983 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:42

异常时间：2019-01-14 10:09:43,098 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:43

异常时间：2019-01-14 10:09:43,369 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:43

异常时间：2019-01-14 10:09:43,628 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:43

异常时间：2019-01-14 10:09:43,689 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:43

异常时间：2019-01-14 10:09:43,890 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:43

异常时间：2019-01-14 10:09:43,981 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1547431777，异常消息：未将对象引用设置到对象的实例。，时间：2019/1/14 10:09:43

