
异常时间：2018-12-26 10:01:23,357 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545789677，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:01:23

异常时间：2018-12-26 10:01:23,395 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:23,395 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545789677时间：2018/12/26 10:01:23

异常时间：2018-12-26 10:01:23,630 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:01:23,630 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545789677时间：2018/12/26 10:01:23

异常时间：2018-12-26 10:51:01,064 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:01,075 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:01,076 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:01,090 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:01

异常时间：2018-12-26 10:51:01,590 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:01

异常时间：2018-12-26 10:51:01,590 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:01

异常时间：2018-12-26 10:51:01,590 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FootballMorning/?t=0.1545792659时间：2018/12/26 10:51:01

异常时间：2018-12-26 10:51:01,849 异常级别：ERROR异常内容：===============================================

异常时间：2018-12-26 10:51:01,849 异常级别：ERROR异常内容：执行成功，地址：https://7345v.com/index.php/sports/Match/FBRresults/?t=0.1545792659时间：2018/12/26 10:51:01

异常时间：2018-12-26 10:51:01,889 异常级别：ERROR异常内容：爬虫抓取出现错误：https://7345v.com/index.php/sports/Match/FootballToday/?t=0.1545792659，异常消息：未将对象引用设置到对象的实例。，时间：2018/12/26 10:51:01

异常时间：2018-12-26 10:51:02,479 异常级别：ERROR异常内容：===============================================

